"CRF_NAME","CRF_LABEL","FIELD_NAME","FIELD_TEXT","FIELD_FORMAT","FIELD_LENGTH","FIELD_DECIML","FIELD_UNITS","FIELD_CODE","FIELD_NOTES"
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASINTER","16b.iii. Access the internet (e.g., websites, Facebook, etc):","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASAPP","16b.iv. Use an App (including playing a game):","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCELLOFTN","16c. Did you use a cellphone or smartphone less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCELITDIF","16d. Did you use a cellphone or smartphone:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCOMP","17. Did you ever use a computer, tablet, or other device with internet access?","text",NA,NA,NA,NA,"Do not include use of any study-provided devices."
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASACCESS","17a. If yes, during the past 3 months, did you use a computer, tablet, or other device with internet access?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASWEB","17b.i. Access websites, Facebook, or email:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASINFO","17b.ii. Enter information on the device, e.g, made bookmarks, wrote and sent emails, posted on Facebook, etc:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASPURCH","17b.iii. Make purchases or reservations:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASPASS","17b.iv. Use passwords and remember or find them on your own:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCOMPOFTN","17c. Did you use a computer, tablet, or other device with internet access less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCLITDIF","17d. Did you use a computer, tablet, or other device with internet access:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEREAD","18. Did you ever use an e-reader, e.g. Nook, Kindle or a tablet?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEREAD4","18a. If yes, during the past 3 months, did you use an e-reader, e.g. Nook, Kindle or a tablet?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEBOOK","18b.i. Read a book or article:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEDLOAD","18b.ii. Download reading material:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEADJUST","18b.iii. Make an adjustment to appearance e.g., inserted a bookmark or adjusted settings:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASEOFTEN","18c. Did you use an e-reader less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASELITDIF","18d. Did you use an e-reader:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASSCORE","Total Score","numeric",NA,NA,NA,NA,"Placeholder for automatic scoring TBD."
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","SUBSTUDY",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","BID",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","VISCODE",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","DONE","Was assessment/procedure done?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","NDREASON","If No, reason not done:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIMETHOD","Method of Collection:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","BPID","Study Partner ID:","numeric",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICBOOK","1. In the past 3 months, how well did {P} balance a credit card statement, pay bills, or use an ATM to make a withdrawal or deposit?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB1A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB1B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB1C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AITRAVL","2. In the past 3 months, did {P} drive a car without getting lost, or travel to wherever he/she needed to go by using public or other transport?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB2A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB2B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB2C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIAPPLI","3. In the past 3 months, how well did {P} use an appliance (for example, a microwave, dishwasher, vacuum cleaner, or TV remote), or carry out household repairs?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB3A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB3B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB3C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AILAUN","4. In the past 3 months, did {P} clean a load of laundry?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB4A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB4B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB4C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIPAY","5. In the past 3 months, did {P} select and pay for items when shopping?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB5A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB5B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB5C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISNACK","6. In the past 3 months, did {P} prepare a meal or snack?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB6A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB6B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB6C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AITIMES","7. In the past 3 months, how well did {P} remember important dates and times, such as appointments or meetings?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB7A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB7B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB7C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIFIND","8. In the past 3 months, did {P} usually manage to find personal belongings at home - for example keys, glasses, a wallet or books?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB8A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB8B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB8C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIWDOWN","9. In the past 3 months, how well did {P} write things down, for example letters or detailed notes or lists, so that other people understood them?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB9A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB9B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB9C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIMOVIE","10. In the past 3 months, how well did {P} follow TV programs or movies and remember the details of the story?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB10A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB10B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICEVNT","11. In the past 3 months, how well did {P} talk about and remember current events that he/she heard or read about?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB11A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB11B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIPHONE","12. In the past 3 months, how well did {P} make telephone calls, including looking up numbers or calling directory assistance if necessary?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB12A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB12B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB12C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIMEDS","13. In the past 3 months, did {P} take medications regularly - including prescription or over the counter medications?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB13A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB13B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIPLAN","14. In the past 3 months, did {P} plan and organize complex activities for him/herself or for groups of people, for example travel, running errands, participating in group activities (such as religious services), or carrying out hobbies or pastimes?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB14A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB14B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB14C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICOMPL","15. In the past 3 months, did {P} complete complex activities such as hobbies or pastimes, for example playing card games, reading books, gardening?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB15A","If with some difficulty:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB15B",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISUB15C",NA,"text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICELL","16. Did {P} ever use a cellphone or smartphone?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICELLUSE","16a. If yes, during the past 3 months, did {P} use a cellphone or smartphone?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICALL","16b.i. Make a call:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AITEXT","16b.ii. Send a text message:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIINTER","16b.iii. Access the internet (e.g., websites, Facebook, etc):","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIAPP","16b.iv. Use an App (including playing a game):","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICELLOFTN","16c. Did {P} use a cellphone or smartphone less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICELITDIF","16d. Did {P} use a cellphone or smartphone:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICOMP","17. Did {P} ever use a computer, tablet, or other device with internet access?","text",NA,NA,NA,NA,"Do not include use of any study-provided devices."
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIACCESS","17a. If yes, during the past 3 months, did {P} use a computer, tablet, or other device with internet access?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIWEB","17b.i. Access websites, Facebook, or email:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIINFO","17b.ii. Enter information on the device, e.g, made bookmarks, wrote and sent emails, posted on Facebook, etc:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIPURCH","17b.iii. Make purchases or reservations:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIPASS","17b.iv. Use passwords and remember or find them on his/her own:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICOMPOFTN","17c. Did {P} use a computer, tablet, or other device with internet access less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AICLITDIF","17d. Did {P} use a computer, tablet, or other device with internet access:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEREAD","18. Did {P} ever use an e-reader, e.g. Nook, Kindle or a tablet?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEREAD4","18a. If yes, during the past 3 months, did {P} use an e-reader, e.g. Nook, Kindle or a tablet?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEBOOK","18b.i. Read a book or article:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEDLOAD","18b.ii. Download reading material:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEADJUST","18b.iii. Make an adjustment to appearance e.g., inserted a bookmark or adjusted settings:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIEOFTEN","18c. Did {P} use an e-reader less often than usual?","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AIELITDIF","18d. Did {P} use an e-reader:","text",NA,NA,NA,NA,NA
"ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","AISCORE","Total Score","numeric",NA,NA,NA,NA,"Placeholder for automatic scoring TBD."
"CDR","Clinical Dementia Rating","SUBSTUDY",NA,"text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","BID",NA,"text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","VISCODE",NA,"text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","DONE","Was assessment/procedure done?","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","NDREASON","If No, reason not done:","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDSPVERS","Version","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDPTSRCE","Participant","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDSPSRCE","Study Partner","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","BPID","Study Partner ID:","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","MEMORY","Memory Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","ORIENT","Orientation Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","JUDGE","Judgment and Problem Solving Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","COMMUN","Community Affairs Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","HOME","Home and Hobbies Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CARE","Personal Care Score","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDSOB","Sum of Boxes (system populated)","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDGLOBAL","Global CDR (system populated)","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","AVISIT","Analysis visit.","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDADTC_DAYS_CONSENT","Analysis date of CDR registry.EXAMDATE, if it exists, otherwise manually reviewed missing_pacc_dates_verify.EXAMDATE.verify (Derived to days since study consent date)","date",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDADTC_DAYS_T0","Analysis date of CDR registry.EXAMDATE, if it exists, otherwise manually reviewed missing_pacc_dates_verify.EXAMDATE.verify (Derived to days since study start date [A4: Ranomization date | LEARN: Baseline registry exam date])","date",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","EPOCH","Epoch.","text",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDDY","Study day of CDR collection, measured as integer days.","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDEVENT","CDR-Global progression event defined as two consecutive CDR-Global scores in the placebo-controlled phase greater than zero, or a final observed CDR-Global score in the placebo-controlled phase greater than zero. The time of the event will be considered the time from baseline (in days) from randomization to the first of two consecutive CDR-Global scores greater than zero, or to final observed CDR-Global score greater than zero. If a participant has only CDR-Global scores of zero at every visit, the censoring time will be the time of the last observed CDR-Global score in the placebo-controlled phase.","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDOLEEVENT","OLE CDR-Global progression event defined as two consecutive CDR-Global scores in the placebo-controlled or OLE phase greater than zero, or a final observed CDR-Global score in the placebo-controlled or OLE phase greater than zero. The time of the event will be considered the time from baseline (in days) to the first of two consecutive CDR-Global scores greater than zero, or to final observed CDR-Global score greater than zero. If a participant has only CDR-Global scores of zero at every visit, the censoring time will be the time of the last observed CDR-Global score in either placebo-controlled or OLE phase.","numeric",NA,NA,NA,NA,NA
"CDR","Clinical Dementia Rating","CDRSB","CDR Sum of Boxes score with proration for missing box scores if percent missing is <= 30% (one box).","numeric",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","SUBSTUDY",NA,"text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","BID",NA,"text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","VISCODE",NA,"text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","DONE","Was assessment/procedure done?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","NDREASON","If No, reason not done:","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","PMETHOD","Method of Collection:","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","MEMORY","1. Compared to one year ago, do you feel that your memory has declined substantially?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","REPEAT","2. Do others tell you that you tend to repeat questions over and over?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","MISPLA","3. Have you been misplacing things more often?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","WRITTN","4. Compared to one year ago, do you find that you are relying more on written reminders (e.g., shopping lists, calendars)?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","HELP","5. Do you need more help from others to remember appointments, family occasions or holidays?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","RECALL","6. Do you have more trouble recalling names, finding the right word, or completing sentences?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","DRIVE","7. Do you have more trouble driving (e.g., do you drive more slowly, have more trouble at night, tend to get lost, have accidents)?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","MONEY","8. Compared to one year ago, do you have more difficulty managing money (e.g., paying bills, calculating change, completing tax forms)?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","SOCIAL","9. Are you less involved in social activities?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","WORK","10. Has your work performance (paid or volunteer) declined significantly compared to one year ago?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","FOLLOW","11. Do you have more trouble following the news or the plots of books, movies, or TV shows?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","ACTIV","12. Are there any activities (e.g., hobbies, such as card games, crafts) that are substantially more difficult for you now compared to one year ago?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","LOST","13. Are you more likely to become disoriented, or get lost, for example when traveling to another city?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","APPLIA","14. Compared to one year ago, do you have more difficulty using household appliances (such as washing machine or microwave) or electronic devices (such as computer or cell phone)?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","PTCONCERN","15. In the past year, have you seen a doctor about memory concerns?","text",NA,NA,NA,NA,NA
"CFI","Cognitive Function Index - Participant","CFIPTTOTAL","Total Score","numeric",NA,NA,NA,NA,"Placeholder for automatic scoring TBD."
"CFISP","Cognitive Function Index  - Study Partner","SUBSTUDY",NA,"text",NA,NA,NA,NA,NA
"CFISP","Cognitive Function Index  - Study Partner","BID",NA,"text",NA,NA,NA,NA,NA
"CFISP","Cognitive Function Index  - Study Partner","VISCODE",NA,"text",NA,NA,NA,NA,NA
